,titles,ldcp,opens,high,low,current,change,volume,scrap_time
0,AL-Ghazi Tractors,448.7,445.0,447.96,437.0,438.09,-10.95,10960,2025-04-29 00:00:26.283945
1,Atlas Honda Ltd,1153.68,1160.0,1170.0,1130.0,1142.02,-11.48,8945,2025-04-29 00:00:26.283945
2,Dewan Motors,38.54,39.02,39.25,37.45,37.45,-0.67,1877947,2025-04-29 00:00:26.283945
3,Ghandhara Automobile,472.83,473.06,477.87,438.0,442.9,-27.27,764534,2025-04-29 00:00:26.283945
4,Ghandhara Ind.,738.0,745.0,747.5,699.0,700.01,-32.53,309006,2025-04-29 00:00:26.283945
5,Honda Atlas Cars,287.33,288.0,291.5,273.5,274.95,-10.94,542301,2025-04-29 00:00:26.283945
6,Indus Motor CO.,1969.47,2000.0,2011.99,1937.02,1958.0,-12.52,80691,2025-04-29 00:00:26.283945
7,Millat Tractors,601.19,601.19,616.19,592.12,595.0,-5.81,243896,2025-04-29 00:00:26.283945
8,Sazgar Engineering,1359.99,1377.86,1385.25,1300.0,1309.98,-50.25,610091,2025-04-29 00:00:26.283945
9,Atlas Battery,324.57,300.0,308.5,292.11,292.11,-32.46,107640,2025-04-29 00:00:26.283945
10,Bal.Wheels,133.02,134.9,134.9,130.0,130.0,-2.59,13531,2025-04-29 00:00:26.283945
11,Dewan Auto Engg,31.98,33.85,33.85,31.6,32.29,-0.37,5991,2025-04-29 00:00:26.283945
12,Exide (PAK),808.66,808.67,808.67,781.0,792.0,-18.59,5511,2025-04-29 00:00:26.283945
13,Ghandhara Tyre,37.35,37.75,37.75,35.75,36.25,-1.29,204098,2025-04-29 00:00:26.283945
14,Loads Limited,16.3,16.5,16.68,15.42,15.59,-0.65,1348211,2025-04-29 00:00:26.283945
15,Panther Tyres Ltd.,38.49,38.5,38.84,37.25,37.5,-1.02,46467,2025-04-29 00:00:26.283945
16,Thal Limited,383.47,380.1,389.89,366.0,380.0,-4.32,2840,2025-04-29 00:00:26.283945
17,Treet Battery Ltd.,12.21,12.4,12.5,11.9,11.95,-0.24,849932,2025-04-29 00:00:26.283945
18,Fast Cables Ltd.,23.77,23.71,24.0,23.11,23.54,-0.38,741662,2025-04-29 00:00:26.283945
19,Pak Elektron,44.31,44.99,45.0,41.5,41.6,-2.41,18055841,2025-04-29 00:00:26.283945
20,Pakistan Cables-,156.39,160.0,160.0,142.5,150.9,-7.7,27481,2025-04-29 00:00:26.283945
21,Waves Corp Ltd.,7.57,7.6,7.68,7.35,7.42,-0.19,634434,2025-04-29 00:00:26.283945
22,Waves Home App,9.42,9.59,9.59,9.0,9.05,-0.4,1904238,2025-04-29 00:00:26.283945
23,Attock Cement,264.55,270.0,272.0,257.5,260.0,-4.18,45936,2025-04-29 00:00:26.283945
24,Bestway CementXD,420.4,422.0,424.5,414.02,417.0,-3.15,15543,2025-04-29 00:00:26.283945
